PassengerId,Survived
863,1
224,0
85,1
681,0
536,1
624,0
149,0
4,1
35,0
242,1
795,0
3,0
7,0
18,0
369,0
431,0
820,0
744,0
190,0
438,1
383,0
74,0
711,1
386,0
112,1
822,0
743,1
866,1
620,0
709,1
883,0
299,0
611,1
730,0
526,0
234,1
513,0
155,0
371,0
641,0
217,0
9,1
872,1
332,0
828,1
364,0
60,0
796,0
738,0
842,0
182,0
57,1
239,0
266,0
82,0
143,1
243,0
626,0
14,0
405,0
181,1
860,0
849,0
188,0
725,0
256,1
623,0
208,0
206,1
315,0
566,0
687,0
790,0
740,0
773,1
818,0
384,1
791,0
488,0
505,1
510,0
160,0
465,0
203,0
474,1
714,0
590,0
599,0
814,1
727,1
663,0
585,0
704,0
48,0
869,0
453,0
95,0
20,0
878,0
879,0
767,0
823,0
66,0
703,1
330,1
351,0
91,0
423,0
51,0
350,0
600,0
61,0
464,0
268,0
734,0
720,0
118,0
672,0
519,1
798,0
427,1
263,0
102,0
758,0
319,1
888,1
444,1
555,0
202,0
829,0
295,0
415,0
645,1
682,0
86,1
196,1
586,1
387,0
372,0
650,0
499,1
812,0
436,1
416,0
108,0
50,1
440,0
122,0
886,1
522,0
480,1
598,0
17,0
290,0
693,0
770,0
321,0
846,0
867,1
659,0
595,0
356,0
107,0
24,0
70,0
831,1
601,1
644,0
575,0
660,0
259,1
120,1
258,1
176,0
797,1
816,0
630,0
422,0
449,1
302,0
310,1
517,1
121,0
571,0
731,1
229,0
564,0
312,1
614,0
195,1
186,0
340,0
275,0
876,0
853,1
62,1
278,0
428,1
677,0
494,0
434,0
572,1
774,0
136,0
249,0
346,1
766,1
135,0
508,0
105,0
219,1
851,0
58,0
732,0
544,0
615,0
412,0
308,1
507,1
468,0
741,0
355,0
450,0
